"","kingdom","phylum","class","order","family","genus","species"
"30","Fungi","Ascomycota","Sordariomycetes","Xylariales","unidentified","unidentified","unidentified"
"31","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Aphanoascus","Aphanoascus mephitalis"
"32","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum dehoogii"
"33","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum gamsii"
"34","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum laibachii"
"35","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum mycotoxinovorans"
"36","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Aplosporellaceae","Aplosporella","unidentified"
"37","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apodus","Apodus deciduus"
"38","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apodus","unidentified"
"39","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arachnomycetaceae","Arachnomyces","Arachnomyces gracilis"
"40","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arachnomycetaceae","Arachnomyces","Arachnomyces kanei"
"41","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arachnomycetaceae","Arachnomyces","Arachnomyces minimus"
"42","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arachnomycetaceae","Arachnomyces","Arachnomyces pilosus"
"43","Fungi","Mucoromycota","Glomeromycetes","Archaeosporales","Archaeosporaceae","Archaeospora","unidentified"
"44","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria ostoyae"
"45","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Arnium","unidentified"
"46","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","Arthothelium","unidentified"
"47","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia","Orbilia cladodes"
"48","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys","Arthrobotrys flagrans"
"49","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified"
"50","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys","unidentified"
"51","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Arthroderma","Arthroderma uncinatum"
"52","Fungi","Ascomycota","Dothideomycetes","Eremomycetales","Eremomycetaceae","Arthrographis","unidentified"
"53","Fungi","Ascomycota","Eurotiomycetes","Onygenales","unidentified","unidentified","unidentified"
"54","Fungi","Ascomycota","Leotiomycetes","Helotiales","Discinellaceae","Articulospora","unidentified"
"55","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","unidentified"
"56","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","Ascobolus stercorarius"
"57","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Ascochyta","Ascochyta manawaorae"
"58","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Ascorhizoctonia","unidentified"
"59","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","unidentified"
"94","Fungi","Basidiomycota","Agaricomycetes","Boletales","Astraeaceae","Astraeus","Astraeus telleriae"
